asset_wind_code | asset_name | record_count
605088.SH | 冠盛股份 | 111
605111.SH | 新洁能 | 60
605117.SH | 德业股份 | 32
  ... | DR德业股 | 1
605196.SH | 华通线缆 | 46
  ... | 中一科技 | 1
  ... | 华锐精密 | 1
605499.SH | 东鹏饮料 | 40
  ... | 泡泡玛特 | 1
605589.SH | 圣泉集团 | 12
6127.HK | 昭衍新药 | 9
6181.HK | 老铺黄金 | 56
  ... | 鸿腾精密 | 1
6855.HK | 亚盛医药-B | 117
6869.HK | 长飞光纤光缆 | 113
688002.SH | 睿创微纳 | 27
688008.SH | 澜起科技 | 45
  ... | 佰维存储 | 1
688009.SH | 九号公司 | 3
688012.SH | 中微公司 | 4
688018.SH | 乐鑫科技 | 46
688019.SH | 安集科技 | 118
688041.SH | 海光信息 | 52
688055.SH | 亚盛医药-B | 1
688072.SH | 拓荆科技 | 12
688077.SH | 海泰新光 | 1
688122.SH | 西部超导 | 25
688138.SH | 安集科技 | 1
688141.SH | 杰华特 | 1
688146.SH | 中船特气 | 74
  ... | 石头科技 | 1
688169.SH | 石头科技 | 61
  ... | 中船特气 | 1
  ... | 厦钨新能 | 1
688188.SH | 电科蓝天 | 1
688200.SH | 华峰测控 | 2
  ... | 固德威 | 1
688205.SH | 德科立 | 59
688213.SH | 思特威 | 116
  ... | XD思特威 | 2
  ... | 思瑞浦 | 1
688249.SH | 晶合集成 | 19
688256.SH | 寒武纪 | 43
  ... | DR寒武纪 | 1
688261.SH | 东微半导 | 16
688270.SH | 臻镭科技 | 2
688272.SH | 拓荆科技 | 1
688290.SH | 景业智能 | 15
  ... | 晶昱智能 | 1
688301.SH | 奕瑞科技 | 118
688308.SH | 欧科亿 | 1
688313.SH | 仕佳光子 | 9
688339.SH | 固德威 | 1
688347.SH | 华虹公司 | 4
688368.SH | 晶丰明源 | 11
688370.SH | 信科移动 | 1
688387.SH | 信科移动 | 2
688388.SH | 嘉元科技 | 1
688390.SH | 固德威 | 43
  ... | 海泰新光 | 1
  ... | 长飞光纤光缆 | 1
  ... | 澜起科技 | 1
688403.SH | 汇成股份 | 18
  ... | XD汇成股 | 1
688411.SH | 海博思创 | 4
688498.SH | 源杰科技 | 11
688502.SH | 茂莱光学 | 3
688506.SH | 百利天恒 | 33
688508.SH | 芯朋微 | 22
  ... | 中芯国际 | 1
688510.SH | 航亚科技 | 51
  ... | 亚盛医药-B | 1
688518.SH | 联赢激光 | 72
688525.SH | 佰维存储 | 15
  ... | 澜起科技 | 1
688536.SH | 思瑞浦 | 2
688548.SH | 广钢气体 | 95
688552.SH | 航天南湖 | 1
688589.SH | 宏华数科 | 1
688608.SH | 恒玄科技 | 27
688630.SH | 芯碁微装 | 14
688677.SH | 海泰新光 | 38
688677.SZ | 海泰新光 | 1
688700.SH | 东威科技 | 4
688702.SH | 盛科通信 | 3
688720.SH | 臻镭科技 | 1
688777.SH | 中控技术 | 21
  ... | 中芯技术 | 1
688778.SH | 厦钨新能 | 123
  ... | 厦钨新能源 | 1
  ... | 夏钨新能 | 1
  ... | 海泰新光 | 1
688789.SH | 宏华数科 | 116
  ... | 安华数科 | 1
688789.SZ | 宏华数科 | 1
688795.SH | 亚盛医药-B | 1
688802.SH | 睿创微纳 | 1
688808.SH | 联讯仪器 | 8
  ... | C联讯 | 4
  ... | 联识仪器 | 3
  ... | 联泇仪器 | 3
  ... | 联影医疗 | 2
  ... | 联汯仪器 | 1
  ... | 联浤仪器 | 1
  ... | 联泓仪器 | 1
688813.SH | 泰金新能 | 12
688816.SH | 易思维 | 5
688818.SH | 电科蓝天 | 69
  ... | C电科 | 4
  ... | N电科 | 1
688820.SH | 盛合晶微 | 1
688848.SH | 广钢气体 | 1
6889.HK | 长飞光纤光缆 | 1
688981.SH | 中芯国际 | 79
  ... | 芯朋微 | 1
689009.SH | 九号公司 | 115
6990.HK | 科伦博泰生物-B | 38
  ... | 科伦博泰生物 | 3
9626.HK | 哔哩哔哩-W | 52
9633.HK | 农夫山泉 | 5
9688.HK | 再鼎医药 | 44
9699.HK | 顺丰同城 | 84
9868.HK | 小鹏汽车-W | 42
  ... | 小鹏集团-W | 1
9988.HK | 阿里巴巴-W | 355
9992.HK | 泡泡玛特 | 355
9995.HK | 荣昌生物 | 18
9998.HK | 阿里巴巴-W | 1
ST华通 | ST华通 | 1
(None) | 工商银行 | 2
  ... | 农业银行 | 2
  ... | 中国国航 | 2
  ... | 建设银行 | 2
  ... | 中国银行 | 2
  ... | 立讯精密 | 1
  ... | 中国东方航空股份 | 1
  ... | 兆易创新 | 1
  ... | 阳光电源 | 1
  ... | 阿里巴巴-W | 1
  ... | 中集安瑞科 | 1
  ... | 中远海能 | 1
  ... | 新易盛 | 1
  ... | 招商轮船 | 1
  ... | 中际旭创 | 1
  ... | 泸州老窖 | 1
  ... | 南方航空 | 1
  ... | 腾讯控股 | 1
  ... | 美团-W | 1
  ... | 宁德时代 | 1
  ... | 中芯国际 | 1
  ... | 泡泡玛特 | 1
  ... | 贵州茅台 | 1
  ... | 哔哩哔哩-W | 1
  ... | 浦发银行 | 1
  ... | 中国南方航空股份 | 1
  ... | 北方华创 | 1
  ... | 中国东航 | 1
